Date','first_name','last_name','Address','ZIP code','SSN','Medicaid Number
--9/13/2014','Elizabeth','Stephens','61783 Center Pass','46307','285-47-3806','146191497
---6/25/2014','Julie','Moore','6 Nelson Park','46311','919-34-8691','879620510
---4/18/2015','Mary','Bennett','31 Daystar Pass','46319','657-89-1756','148841158
---10/12/2014','Anne','Cook','5248 Morning Park','46320','808-11-5884','152417805
---6/25/2014','Kathy','Powell','05415 Ridge Oak Park','46321','736-47-9286','198954269
---10/11/2014','Carol','Little','2997 Anhalt Lane','46322','778-01-8377','99844465
---9/14/2014','Nicole','Washington','31233 Victoria Lane','46323','543-02-8419','391065343
---2/1/2015','Judy','Porter','4 Mccormick Crossing','46324','866-12-2269','18611554
8/16/2014','Brenda','Sanchez','75153 Rieder Park','46375','171-76-4294','154128308
6/26/2014','Nicole','Spencer','24 Maryland Court','46406','582-67-1435','261569916
5/23/2014','Kathy','Boyd','803 Pond Hill','46312','250-96-7131','873224370
12/20/2014','Rachel','Hudson','5619 Sundown Drive','46319','716-82-7052','803445872
5/2/2015','Sandra','Griffin','820 Schiller Way','46320','648-05-3394','702232067
12/6/2014','Kimberly','Hawkins','36454 Bonner Drive','46323','487-21-7871','109806262
9/3/2014','Ruby','Alexander','438 Rutledge Crossing','46324','174-83-2926','648226133
3/20/2015','Rachel','Harrison','93999 Hudson Drive','46327','944-46-7842','132278503
7/19/2014','Betty','Hughes','015 Northfield Hill','46342','956-76-2509','83245125
6/22/2014','Jessica','Gonzalez','53 Ridge Oak Drive','46394','257-88-8265','716076116
6/7/2014','Susan','Butler','9 Schurz Terrace','46402','353-11-4526','867606173
5/30/2014','Lois','Ford','52 Erie Point','46404','686-08-9691','725251748
11/30/2014','Melissa','Jacobs','683 Welch Point','46406','698-75-9026','560933450
8/28/2014','Rachel','Hall','4945 Toban Terrace','46408','550-61-4541','753880880
8/26/2014','Ruth','Jordan','544 Schlimgen Crossing','46410','502-71-7486','311839678
11/6/2014','Sandra','Lynch','9788 Talisman Park','46307','756-25-5689','770732345
11/23/2014','Diana','Watkins','51529 Homewood Alley','46342','276-59-7501','661312998
4/12/2015','Kathy','Bennett','22 Browning Drive','46402','949-86-5614','271688413
4/7/2015','Catherine','Brooks','4109 Dottie Plaza','46403','162-46-5084','839177404
5/23/2014','Janet','Wilson','71 Nova Parkway','46404','382-86-7199','92784991
2/10/2015','Anna','Williamson','053 Sheridan Park','46405','579-08-0562','52440491
12/27/2014','Ann','Lawson','20249 Charing Cross Court','46406','581-14-2464','407282990
3/23/2015','Carolyn','Garcia','725 Debra Terrace','46407','519-52-0482','620029175
6/1/2014','Cynthia','Rice','5782 Kenwood Trail','46408','744-77-1245','807669619
8/16/2014','Denise','Lynch','14878 Eastwood Pass','46409','248-65-6475','193313798
4/22/2015','Norma','Smith','902 Blackbird Terrace','46410','616-28-8508','53563933
11/25/2014','Nancy','Schmidt','0536 Glacier Hill Alley','46304','454-86-8614','634839279
7/21/2014','Angela','Little','70299 Sheridan Street','46342','690-66-7918','260727135
8/5/2014','Sara','James','326 Shasta Hill','46350','649-38-2889','391314824
7/31/2014','Ann','Burke','46785 Jana Park','46360','139-32-2475','778183229
12/12/2014','Evelyn','Reyes','0 Superior Point','46368','699-67-9337','748698289
1/27/2015','Judy','Ellis','3 School Road','46382','707-34-5395','18469831
3/23/2015','Marilyn','Reynolds','262 Bartillon Place','46383','266-62-1258','666606177
5/14/2014','Jean','Lawrence','89 Pearson Park','46385','741-31-5061','641176208
9/13/2014','Wanda','Harris','0191 Mcbride Parkway','46391','151-35-8477','102801298
4/22/2015','Carolyn','Payne','30469 Anhalt Alley','46403','981-08-7678','66789284
8/15/2014','Robin','Torres','12 Magdeline Court','46405','518-12-5039','616786195
4/27/2015','Patricia','Greene','4 Express Hill','46307','378-74-0411','953402282
4/26/2015','Paula','Adams','067 Menomonie Plaza','46310','696-51-4120','871043484
6/23/2014','Gloria','Morris','88 Thompson Park','46340','534-55-4443','21157140
7/15/2014','Sandra','Evans','83753 Susan Crossing','46341','826-74-8290','708765448
10/12/2014','Beverly','Hart','06 Hudson Place','46347','573-68-6391','876946044
1/3/2015','Paula','Mendoza','16265 Sage Street','46348','480-42-3480','454274216
11/29/2014','Lois','Burke','6 Melvin Court','46366','756-31-0717','553164946
10/6/2014','Stephanie','Ford','3855 Banding Crossing','46374','809-14-3191','514917644
9/9/2014','Dorothy','Bennett','514 Meadow Valley Parkway','46382','655-21-8446','412953881
2/6/2015','Debra','Washington','52933 Rowland Alley','46383','632-07-8315','580436261
9/22/2014','Emily','Washington','656 Hintze Terrace','46385','182-20-3783','21469787
11/29/2014','Katherine','Gomez','142 Dakota Road','46390','137-40-5440','931048206
6/9/2014','Margaret','Woods','673 Porter Alley','46391','105-69-5992','885835491
5/1/2015','Janice','Carter','48637 Sutteridge Crossing','46392','896-63-4599','311734757
6/15/2014','Lillian','Palmer','0 Prentice Center','46511','497-84-7799','833501096
4/11/2015','Marilyn','Howard','3 Forest Dale Junction','46534','336-90-2742','500059124
11/14/2014','Cheryl','Evans','23571 Troy Lane','46939','634-37-2053','115044239
12/4/2014','Virginia','Perkins','55 Montana Trail','46960','151-23-2036','157348713
5/19/2014','Diane','Morris','75 School Plaza','46978','899-33-9559','965431644
1/23/2015','Angela','Cook','0499 Eggendart Point','46985','498-34-9299','368007612
6/19/2014','Jessica','Morales','244 Longview Park','46996','690-45-6234','602548144
5/28/2014','Debra','Rodriguez','9710 Kropf Circle','47943','907-92-5372','940284082
2/5/2015','Norma','Bennett','4 Pearson Pass','47946','978-93-4736','25330163
3/21/2015','Cynthia','Hunt','840 Golden Leaf Avenue','47957','500-61-2851','167784834
10/7/2014','Anne','Black','38 Shoshone Street','47959','110-34-6250','817635960
10/29/2014','Nicole','Mason','6 Waxwing Avenue','47960','375-17-5337','870427547
12/28/2014','Lillian','Jacobs','15 Caliangt Plaza','47978','869-64-4287','435456899
1/15/2015','Wanda','Hall','6 Mcguire Crossing','46303','439-81-1098','955351053
4/16/2015','Jane','Young','32803 Helena Parkway','46307','201-87-5560','862356946
6/25/2014','Julie','Reid','402 Anniversary Hill','46310','731-66-7509','386488609
3/2/2015','Pamela','Gray','43 Anzinger Hill','46311','472-48-3809','919146496
10/23/2014','Norma','Stanley','5591 Center Hill','46341','448-50-9356','812066754
11/27/2014','Mildred','Marshall','3948 High Crossing Avenue','46349','511-24-0469','984489325
7/24/2014','Ruby','Holmes','982 West Street','46356','585-43-0609','446119804
4/30/2015','Jennifer','Johnston','98 Waywood Pass','46373','220-22-8139','644862072
1/20/2015','Debra','Crawford','21 Boyd Crossing','46375','296-97-1540','675662272
9/5/2014','Janet','Rogers','68 Troy Avenue','47917','958-85-5159','900989728
6/13/2014','Laura','Morales','3424 Florence Hill','47921','907-66-8676','702588491
8/4/2014','Julia','Simmons','4299 Waxwing Way','47922','902-27-4084','266585119
1/6/2015','Christine','Romero','488 Dovetail Center','47942','311-05-3669','678362038
12/14/2014','Shirley','Johnson','14 Pearson Place','47943','268-89-6669','37261103
1/14/2015','Helen','Duncan','854 Nevada Street','47944','397-87-4898','23223049
2/2/2015','Gloria','Moore','45013 Donald Park','47948','274-58-5452','642781939
8/13/2014','Paula','Mccoy','818 High Crossing Trail','47951','423-52-5915','524703534
4/16/2015','Alice','Tucker','7 Quincy Park','47963','726-29-4503','70113256
4/2/2015','Annie','Austin','554 Hudson Pass','47970','763-44-5683','675158884
1/13/2015','Tina','Morgan','4333 Northport Trail','47971','216-28-4289','122465493
11/9/2014','Annie','Ramos','30 Tomscot Junction','47975','180-62-6456','937059135
8/28/2014','Kathryn','Howell','8071 Warbler Circle','47977','974-01-4187','558661867
4/21/2015','Teresa','Watkins','388 Monument Road','47978','513-89-4538','659026958
7/7/2014','Christine','Hughes','62 Reindahl Drive','46035','865-63-9856','665901725
1/12/2015','Doris','Collins','3 Summer Ridge Avenue','46039','896-18-9095','776409478
8/11/2014','Sara','Lynch','855 American Avenue','46041','885-04-0710','292735877
8/30/2014','Cheryl','Reynolds','992 Oriole Court','46050','228-95-3567','116750714
7/22/2014','Jacqueline','Kelly','69 Rigney Park','46052','654-21-2907','181584989
5/18/2014','Linda','King','88422 Stang Junction','46057','513-51-8000','357000228
10/21/2014','Nicole','Ortiz','66631 Dennis Point','46058','705-93-0805','819723401
2/10/2015','Norma','George','3909 Stoughton Alley','46065','208-03-7498','418448465
7/24/2014','Jacqueline','Long','05953 Forest Run Pass','46069','395-16-7811','822697964
6/8/2014','Michelle','Gomez','5 Bartelt Place','46071','405-59-3597','130428780
2/6/2015','Jennifer','Rogers','5462 Ridgeview Way','46075','207-48-2571','558466524
9/13/2014','Anne','Frazier','83322 Sullivan Court','46077','975-08-5448','595955612
2/1/2015','Mildred','Griffin','3 Valley Edge Drive','46147','921-28-5468','938383351
12/24/2014','Helen','Freeman','95 Westend Place','46913','279-29-9624','969548133
1/11/2015','Heather','Black','5 Milwaukee Place','46920','547-46-2975','441511969
7/9/2014','Debra','Wallace','2 Forster Road','46923','829-01-1884','663626333
4/10/2015','Joan','Hicks','18035 Gulseth Terrace','46929','223-67-2170','198951877
4/1/2015','Cheryl','Weaver','47 Annamark Court','46978','541-70-9430','149558127
5/15/2014','Teresa','Sanchez','03684 Sutherland Trail','46979','292-51-2721','371882270
1/30/2015','Paula','Nelson','07799 Dennis Road','46985','493-84-3166','573342040
6/12/2014','Gloria','Hall','2 Kings Way','46996','163-35-1848','824263512
9/25/2014','Rose','Morris','0072 John Wall Circle','47901','590-56-4245','324812203
5/13/2014','Heather','Watson','2 Gale Lane','47904','920-05-1410','785462930
1/14/2015','Emily','Edwards','4 Nelson Pass','47905','853-99-9329','425882932
2/17/2015','Judith','Jordan','68 Little Fleur Trail','47906','973-65-9862','131998191
4/5/2015','Stephanie','Diaz','94 Fulton Drive','47909','422-69-0204','388832588
6/24/2014','Sarah','Grant','1 Independence Road','47920','942-24-3938','236653625
10/8/2014','Phyllis','Boyd','39035 Nova Center','47922','569-52-7031','211961398
12/24/2014','Rebecca','White','688 Warner Lane','47923','617-39-9269','621415292
11/29/2014','Amy','Collins','5652 Bobwhite Street','47926','997-02-2509','897598974
1/3/2015','Ashley','Fields','378 Reindahl Plaza','47929','762-94-5707','956782385
12/11/2014','Christina','Owens','8 Bartillon Junction','47930','534-62-2452','180372393
3/19/2015','Kimberly','Gonzalez','02449 Magdeline Trail','47946','500-86-4327','171219557
12/24/2014','Martha','Watson','5175 Lien Alley','47948','240-10-0260','713134098
10/28/2014','Lori','Smith','597 Texas Court','47950','101-06-4801','497816162
8/9/2014','Heather','Wright','5 Mendota Point','47959','577-35-7379','813067349
8/10/2014','Carolyn','Howard','02679 Transport Plaza','47960','372-98-4958','429306014
4/20/2015','Robin','Mills','8 Quincy Avenue','47970','810-46-4727','95361430
7/21/2014','Deborah','Nguyen','19714 School Park','47977','333-74-6351','530797571
8/10/2014','Beverly','Elliott','489 Blackbird Street','47978','323-75-0329','904307332
7/10/2014','Melissa','Coleman','94 Iowa Trail','47980','976-53-7451','238992334
9/9/2014','Annie','Williamson','115 Killdeer Street','47995','591-58-5866','843264671
3/17/2015','Anna','Ryan','90635 Aberg Center','46340','873-50-7751','179016986
7/9/2014','Angela','Harper','4571 Cottonwood Junction','46348','726-20-2327','548555697
12/8/2014','Cheryl','Myers','4 Menomonie Street','46350','855-63-1727','515772503
7/7/2014','Patricia','Walker','3990 American Ash Lane','46360','518-80-8926','909957347
2/16/2015','Nicole','Pierce','34269 Union Crossing','46365','249-70-4600','245842744
6/19/2014','Carol','Burns','0 Scoville Parkway','46366','550-69-1577','302929499
10/8/2014','Andrea','Rodriguez','264 Arrowood Point','46371','259-40-3720','204326038
4/11/2015','Patricia','Mendoza','6221 Linden Way','46382','804-10-7065','506437206
8/7/2014','Norma','Spencer','8 Riverside Place','46511','475-92-6123','538115776
11/3/2014','Pamela','King','3224 Burrows Crossing','46531','326-08-1569','348864608
8/16/2014','Jessica','Ramos','266 Lakewood Gardens Circle','46532','728-97-6479','424735383
5/3/2015','Jane','Ferguson','4 Ryan Terrace','46534','851-73-5399','801185829
10/7/2014','Teresa','Vasquez','4 Prairieview Crossing','46552','455-97-6320','550723858
7/15/2014','Jacqueline','Austin','9 Manitowish Circle','46554','209-92-6198','626314331
5/5/2015','Marilyn','Turner','7162 Northport Circle','46563','888-23-6925','18891585
2/9/2015','Karen','Duncan','7720 Scott Avenue','46574','843-93-8002','156938587
9/13/2014','Linda','Martinez','39 Clove Court','46614','915-18-9815','146990930
11/25/2014','Nancy','Ramirez','4 Northport Alley','46619','287-72-1565','431547844
9/20/2014','Paula','Peterson','46025 Johnson Terrace','46628','659-32-3507','836922497
3/1/2015','Robin','Jacobs','8 Beilfuss Point','46501','304-24-4685','727244443
4/29/2015','Brenda','Nguyen','080 Milwaukee Road','46504','278-37-6099','669037147
1/20/2015','Amy','Bradley','06 Waubesa Pass','46506','390-13-3074','921221528
3/22/2015','Catherine','Chavez','0 Straubel Center','46516','225-19-5097','861556647
3/11/2015','Annie','Patterson','76138 Gina Terrace','46517','644-42-9780','653777600
11/18/2014','Rose','Phillips','930 Evergreen Plaza','46524','369-46-7697','112296734
2/4/2015','Susan','Rose','8 Village Pass','46526','186-16-6965','651758494
1/17/2015','Jane','Myers','22198 Harbort Road','46536','990-78-8994','200834418
7/21/2014','Jacqueline','Riley','48089 Vermont Parkway','46538','490-78-2036','987318959
3/8/2015','Diane','Torres','8 Bashford Lane','46542','414-45-8686','804446673
12/22/2014','Beverly','Austin','8839 Clove Junction','46544','821-16-6313','515343144
5/16/2014','Stephanie','Ryan','92438 Kim Terrace','46550','959-23-3777','245117551
7/4/2014','Karen','Nelson','991 Transport Plaza','46553','851-64-4635','552085130
4/12/2015','Norma','Webb','690 Northview Circle','46555','372-21-3855','341098571
5/3/2015','Lois','Martinez','7999 Morning Way','46561','218-10-4865','406329074
1/10/2015','Deborah','Warren','48 Eagle Crest Lane','46562','833-43-5317','108914551
8/28/2014','Kathleen','Green','47 Dapin Pass','46563','907-84-7282','825017509
10/20/2014','Alice','Matthews','03 Daystar Plaza','46567','897-30-7286','932069864
10/20/2014','Rachel','Henderson','60285 Dawn Way','46573','720-99-4821','532192279
7/15/2014','Teresa','Ortiz','99242 Del Mar Terrace','46574','343-90-9137','854230565
4/10/2015','Phyllis','Mason','5312 Bunting Trail','46580','748-04-5670','377979456
7/23/2014','Jane','Roberts','639 Huxley Point','46582','489-00-8620','143629921
6/30/2014','Margaret','Sanchez','51 Crowley Terrace','46590','237-23-2397','533112461
8/1/2014','Rachel','Garcia','13961 Thierer Center','46614','511-77-8399','621260324
11/10/2014','Mildred','Larson','5735 Almo Terrace','46732','962-28-9090','988815794
10/23/2014','Catherine','George','42 Lakeland Pass','46544','185-36-4745','266734375
1/14/2015','Wanda','Cruz','70 Katie Lane','46545','206-76-5883','692912039
4/23/2015','Rose','Bennett','5 Golf Circle','46556','948-92-3543','514771804
5/21/2014','Jean','Perry','97 Namekagon Alley','46601','566-68-3996','453505652
4/21/2015','Lisa','Clark','6977 Farragut Lane','46613','456-73-0244','818893007
7/30/2014','Laura','Hernandez','135 Meadow Vale Pass','46614','416-37-8546','527109647
10/28/2014','Judy','Roberts','2 Anderson Park','46615','631-62-5944','826955525
3/23/2015','Sharon','Washington','4 Ridgeview Crossing','46616','220-14-6871','554217449
5/17/2014','Lisa','Crawford','00 Boyd Hill','46617','368-15-2473','715137765
6/9/2014','Helen','Carter','772 Elgar Terrace','46619','534-97-3814','749639312
8/28/2014','Cheryl','Green','76214 6th Street','46628','993-11-1162','670960988
3/20/2015','Mary','Fowler','6 Charing Cross Place','46635','551-54-0347','700482227
1/24/2015','Joan','Nguyen','00 Hollow Ridge Plaza','46637','546-76-7253','101601153
9/11/2014','Jean','Hill','3 Melody Point','46507','373-24-2539','901881893
5/8/2015','Andrea','Jacobs','35 Shoshone Road','46514','134-01-4237','948884234
1/8/2015','Julie','Riley','868 North Way','46516','423-07-1518','335666505
8/26/2014','Joyce','Rivera','5435 Ryan Court','46530','439-39-4130','363001342
7/5/2014','Christine','Wilson','9678 Monument Alley','46544','644-54-6657','12129640
5/21/2014','Janet','Smith','16104 Algoma Drive','46545','974-17-9689','889313609
9/27/2014','Lillian','Hamilton','4749 Rusk Plaza','46556','957-13-4022','566451132
8/15/2014','Ann','Cruz','4 Surrey Terrace','46561','348-30-5999','185214818
8/7/2014','Louise','Long','49366 Barnett Crossing','46635','692-47-1622','608370654
10/9/2014','Rose','Clark','02923 Norway Maple Plaza','46637','250-76-1131','949571619
1/1/2015','Lillian','Frazier','6 Steensland Avenue','46507','760-67-2972','785866183
12/5/2014','Ruth','Mason','810 Debs Park','46514','672-48-2044','539228946
3/22/2015','Paula','Franklin','976 Schurz Lane','46516','786-89-0546','374888071
3/22/2015','Frances','Turner','05356 Fallview Alley','46517','434-99-4738','710520901
8/3/2014','Shirley','Ramirez','6 Graceland Court','46526','536-18-7282','187449239
1/10/2015','Angela','Cooper','78528 Manufacturers Pass','46528','912-24-7679','816512630
8/30/2014','Teresa','Hudson','8498 Eastlawn Trail','46540','738-27-2538','851781210
1/31/2015','Irene','Perkins','928 Farmco Hill','46542','715-73-4342','988867863
12/5/2014','Joyce','Arnold','78 Talisman Parkway','46543','896-34-6138','909921865
1/28/2015','Julia','Banks','118 Magdeline Pass','46553','508-35-5251','497940783
6/23/2014','Nicole','Burton','31 Little Fleur Trail','46567','423-91-4786','73436683
10/18/2014','Barbara','Gray','0851 Mallard Street','46573','943-84-2803','120174
3/4/2015','Ruth','Long','875 Waywood Circle','46732','102-24-2108','248312399
2/23/2015','Ashley','Bowman','6407 Clarendon Avenue','46767','336-24-8923','281271525
11/9/2014','Lori','Austin','1426 East Pass','46540','135-93-4219','632210509
2/15/2015','Maria','Meyer','124 Buell Place','46543','861-90-5923','102733057
12/3/2014','Rachel','Chavez','94378 Loomis Place','46562','839-25-8134','138717741
4/28/2015','Carol','Meyer','290 Hudson Avenue','46565','886-69-8648','238535200
1/20/2015','Barbara','James','67 Lake View Hill','46571','692-90-6680','831591404
8/6/2014','Nicole','Mitchell','514 Morningstar Drive','46701','673-52-9530','175980264
1/21/2015','Heather','Hunter','233 Sheridan Lane','46703','675-53-5448','538113055
5/12/2015','Julie','Burton','3 Laurel Plaza','46705','419-30-7315','331665932
7/16/2014','Joyce','Gibson','34617 Oneill Lane','46706','591-59-0628','899729557
3/28/2015','Sara','Collins','262 Kings Avenue','46710','782-10-0520','907220058
12/31/2014','Nicole','Olson','0428 Ridgeview Road','46723','378-06-3514','452453365
12/29/2014','Jane','Wright','62145 Clarendon Center','46725','428-53-3202','545310099
1/10/2015','Kathryn','Duncan','94 Iowa Circle','46730','917-96-5564','798782131
1/29/2015','Theresa','Arnold','640 Anthes Road','46732','496-77-8650','402703302
8/26/2014','Lisa','Washington','06021 Rusk Street','46737','677-75-4635','882678068
8/17/2014','Karen','Stone','3927 Elka Trail','46738','454-20-3674','863186264
12/1/2014','Cynthia','Wallace','76 Stuart Road','46742','894-47-1117','313817683
3/20/2015','Jean','Little','75 Eagan Lane','46746','190-92-3033','317775493
1/27/2015','Ruth','Romero','6976 Atwood Court','46747','880-21-3476','659284701
4/12/2015','Amy','Morrison','5233 Vernon Lane','46748','442-92-0009','238058314
5/25/2014','Linda','Fowler','72 Petterle Pass','46755','540-59-7209','79656661
